ختيځ;существительное;восток
خداې;существительное;бог
خر;существительное;зоол. осёл, ишак (Equus asinus asinus)
خراتګه;существительное;ветвь
خړ;прилагательное;серый
خښته;существительное;кирпич
خط;существительное;письмо
خطاط;существительное;каллиграф
خلکو جمهوري بنګله دېش;топоним;Народная Республика Бангладеш
خنځير;существительное;зоол. свинья
خندل;глагол;смеяться
خواږه;существительное;подсластитель
خور;существительное;сестра (дочь тех же родителей)
خوړنځی;существительное;кафе
خوګ;существительное;зоол. свинья
خوله;существительное;геогр. устье (реки)
خونه;существительное;комната
ځای;существительное;место
ځنډول;существительное;таблица
ځواک;не указано;сила
ځوان;прилагательное;молодой
څارويتون;существительное;больница для животных, ветеринарный госпиталь
څټ;существительное;анат. спина
څلور;числительное;четыре
څلورم;числительное;четвёртый
څنګل;существительное;анат. локоть
څېټۍ;существительное;молот, молоток
داد;существительное;закон
دارو;существительное;лекарство, медикамент
داش;существительное;гончарная печь
دام;существительное;цена
دانه;существительное;зерно
درد;существительное;боль
درملپوهنه;не указано;фармакология
درملتون;существительное;аптека
دريم;числительное;третий
درې;числительное;три
درېيځ;существительное;геометр. куб
دسمبر;существительное;декабрь
دښته;существительное;геогр. пустыня
دښمن;существительное;враг
دعا;существительное;молитва
دو;существительное;бег
دواخانه;существительное;аптека
دود;существительное;дым
دوست;существительное;друг
دوشنبې;существительное;понедельник
دوه;числительное;два
دويم;числительное;второй
دیرش;числительное;тридцать
دېوال;существительное;архит. стена
ډبره;существительное;камень
ډډون;существительное;экон. инфляция
ډګه;существительное;пенис, половой член
ډوډۍ;существительное;хлеб
ډيکشنري;существительное;словарь (собрание языковых единиц с описаниями)
ډېنمارک;существительное;Дания
رابللی;существительное;гость
رالیږونکي;существительное;муз. виолончель
رټل;глагол;ругать
رس;существительное;продовольствие
رستوران;существительное;ресторан
روپۍ;существительное;рупия
رود;существительное;река
روسيه;существительное;Россия
روغتون;существительное;больница, госпиталь
روغتيا;существительное;здоровье
رومانیا;существительное;Румыния
رېږدله;существительное;землетрясение
زاګرېب;существительное;Загреб
زر;существительное;золото
زړه;существительное;анат. сердце
زمرۍ;существительное;зоол. лев (Panthera leo)
زنګون;существительное;анат. колено
زنه;существительное;анат. подбородок
زه;местоимение;я
زهر;существительное;яд, отрава
زوي;существительное;сын
ږغ;существительное;голос
ږيره;существительное;борода
ژبپوهنه;существительное;лингвистика
ژبه;существительное;язык (мышечный орган)
ژګاګ;существительное;скунс
ژمۍ;существительное;зима
ژور;прилагательное;глубокий
ژوند;существительное;жизнь
ژوندپوهنه;существительное;биология
ژوي;существительное;животное
ژېړ;прилагательное;жёлтый
ساباوري;существительное;религ. анимизм
ساعت;существительное;час
سپتمبر;существительное;сентябрь
سپنج;существительное;губка
سپوږمۍ;существительное;луна
سپين;прилагательное;белый
سپۍ;существительное;зоол. собака
ستار;существительное;сетар (муз. инструмент)
ستاره;существительное;звезда
ستر;существительное;семьдесят
سترګه;существительное;глаз
سترنج;существительное;шахматы
ستنځی;существительное;тюрьма
سخی;существительное;телёнок
سر;существительное;анат. голова
سرکس;существительное;цирк
سرکه;существительное;уксус
سړی;существительное;человек
سړۍ;существительное;мужчина, муж
سکالو;существительное;диалог, обсуждение, разговор
